split,id,image_path,source_path,sha1,is_exact_anchor,dhash_min,dhash_similarity,face_count,mean,std,grad,min,max,risk_exact,risk_dhash,risk_grad,risk_face,bad_score,pred_e086,pred_e087,pred_e088
test,537,data\processed\exp_001_faces_224\test\537.png,data\raw\kul-computer-vision-ga-1-2026\test\test_537.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,2,0
test,1071,data\processed\exp_001_faces_224\test\1071.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1071.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,2,0
test,1112,data\processed\exp_001_faces_224\test\1112.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1112.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,2,0
test,1039,data\processed\exp_001_faces_224\test\1039.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1039.npy,c06055df4848a4817e80ddf3926b410f67fce649,0,26,0.59375,0,96.8371847429519,83.8012864376497,3.037776520373069,0.0,255.0,0.0,0.59375,1.0,1.0,0.36875,0,0,0
test,645,data\processed\exp_001_faces_224\test\645.png,data\raw\kul-computer-vision-ga-1-2026\test\test_645.npy,c5dd35083be5d57ecf3dd16c456e71c3b1774c20,0,27,0.578125,0,102.49004571026722,65.14492293259569,3.2484406753074255,0.0,255.0,0.0,0.578125,1.0,1.0,0.365625,2,2,2
test,1448,data\processed\exp_001_faces_224\test\1448.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1448.npy,91b9d4ed5849c5c5d6da90d1748b66db6481351b,0,27,0.578125,0,85.76735555555555,59.567197245409986,3.2557395020438498,0.0,248.0,0.0,0.578125,1.0,1.0,0.365625,0,0,0
test,650,data\processed\exp_001_faces_224\test\650.png,data\raw\kul-computer-vision-ga-1-2026\test\test_650.npy,e8588837d5829aad6f1e663c84186f6eb5e3e41a,0,30,0.53125,0,63.330350328089395,41.87724862531543,2.2694097460221627,0.0,255.0,0.0,0.53125,1.0,1.0,0.35624999999999996,0,0,0
test,130,data\processed\exp_001_faces_224\test\130.png,data\raw\kul-computer-vision-ga-1-2026\test\test_130.npy,67ea65a9ab545cfd631d0ecb4ce660411b05996c,0,32,0.5,0,221.20948508634223,19.920553399995566,1.180658400644798,36.0,255.0,0.0,0.5,1.0,1.0,0.35,0,0,0
test,1121,data\processed\exp_001_faces_224\test\1121.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1121.npy,67ea65a9ab545cfd631d0ecb4ce660411b05996c,0,32,0.5,0,221.20948508634223,19.920553399995566,1.180658400644798,36.0,255.0,0.0,0.5,1.0,1.0,0.35,0,0,0
test,1244,data\processed\exp_001_faces_224\test\1244.png,data\raw\kul-computer-vision-ga-1-2026\test\test_1244.npy,67ea65a9ab545cfd631d0ecb4ce660411b05996c,0,32,0.5,0,221.20948508634223,19.920553399995566,1.180658400644798,36.0,255.0,0.0,0.5,1.0,1.0,0.35,0,0,0
