split,id,image_path,source_path,sha1,is_exact_anchor,dhash_min,dhash_similarity,face_count,mean,std,grad,min,max,risk_exact,risk_dhash,risk_grad,risk_face,bad_score,pred_e086,pred_e087,pred_e088,rank
train,65,data\processed\exp_001_faces_224\train\65.png,data\raw\kul-computer-vision-ga-1-2026\train\train_65.npy,0d666d7d85b575a1f1c1ca9497ea4c11b7217deb,1,0,1.0,0,95.1485262345679,31.392302258504895,1.595332639570962,18.0,255.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1
train,9,data\processed\exp_001_faces_224\train\9.png,data\raw\kul-computer-vision-ga-1-2026\train\train_9.npy,204090a03e7b434bb295673b21b119ff621feb8b,0,27,0.578125,0,90.14217777777777,57.90596707176682,3.7573021181716832,0.0,241.0,0.0,0.578125,0.6470539007450323,1.0,0.31268308511175485,0,0,0,2
train,20,data\processed\exp_001_faces_224\train\20.png,data\raw\kul-computer-vision-ga-1-2026\train\train_20.npy,80306675b2f2e4dd52f2001eccfe4b5e075fc1b9,0,13,0.796875,1,31.953831018518517,33.45418327288851,1.8236642252754554,0.0,255.0,0.0,0.796875,1.0,0.0,0.309375,2,2,2,3
val,54,data\processed\exp_001_faces_224\train\54.png,data\raw\kul-computer-vision-ga-1-2026\train\train_54.npy,486ee587073aa9e1e0f70eaead0ec40eb72a29b3,0,23,0.640625,1,33.00384528572894,30.003152694843774,2.3325763701521764,0.0,230.0,0.0,0.640625,1.0,0.0,0.278125,2,2,2,4
train,71,data\processed\exp_001_faces_224\train\71.png,data\raw\kul-computer-vision-ga-1-2026\train\train_71.npy,bc484ae796696b2e41201972cc37f0ea9590e572,0,25,0.609375,1,40.264605373635604,40.22596160534747,2.741177466537663,0.0,255.0,0.0,0.609375,1.0,0.0,0.271875,0,0,0,5
train,62,data\processed\exp_001_faces_224\train\62.png,data\raw\kul-computer-vision-ga-1-2026\train\train_62.npy,f79048d4946ffe3df3c4206268810d3161e4ea7a,0,26,0.59375,1,58.098817190241135,78.1124700569566,2.6164654006606067,0.0,255.0,0.0,0.59375,1.0,0.0,0.26875,0,0,0,6
train,68,data\processed\exp_001_faces_224\train\68.png,data\raw\kul-computer-vision-ga-1-2026\train\train_68.npy,f22627248c677899f0de702c2bf4546d9a4a341a,0,25,0.609375,1,85.74307731296979,73.85433857258087,3.4385879912561412,0.0,255.0,0.0,0.609375,0.8978750673892012,0.0,0.2565562601083802,1,1,1,7
train,48,data\processed\exp_001_faces_224\train\48.png,data\raw\kul-computer-vision-ga-1-2026\train\train_48.npy,69604838c28ba6d2eac6bd0a2cc7eb8b982ce462,0,30,0.53125,1,82.61399997709522,76.93082112363263,3.2287596614405314,0.0,255.0,0.0,0.53125,1.0,0.0,0.25625,0,0,0,8
train,12,data\processed\exp_001_faces_224\train\12.png,data\raw\kul-computer-vision-ga-1-2026\train\train_12.npy,03c38cc4c06272f6731fc1a70d39af53417a18c0,0,31,0.515625,1,81.36995409604519,47.95910284492385,3.1637837234178123,0.0,228.0,0.0,0.515625,1.0,0.0,0.253125,2,2,2,9
val,1,data\processed\exp_001_faces_224\train\1.png,data\raw\kul-computer-vision-ga-1-2026\train\train_1.npy,5b3b5e2216cf63c34b4eb67f28916adb782275ae,0,34,0.46875,1,52.62942964135171,42.419424657157144,2.9215198605133894,0.0,255.0,0.0,0.46875,1.0,0.0,0.24375,0,0,0,10
train,47,data\processed\exp_001_faces_224\train\47.png,data\raw\kul-computer-vision-ga-1-2026\train\train_47.npy,0fcd3d3cb42aa941b56c380f7e60493221a3946b,0,26,0.59375,1,73.65194848484849,72.71269733741276,3.5882455790410552,0.0,255.0,0.0,0.59375,0.7800977629168724,0.0,0.23576466443753086,0,0,0,11
train,78,data\processed\exp_001_faces_224\train\78.png,data\raw\kul-computer-vision-ga-1-2026\train\train_78.npy,83126fbedcab21bd021bc49607cc81661a37c395,0,39,0.390625,1,143.89088176352706,52.839147175923586,2.0215051325979236,15.0,244.0,0.0,0.390625,1.0,0.0,0.228125,1,1,1,12
train,15,data\processed\exp_001_faces_224\train\15.png,data\raw\kul-computer-vision-ga-1-2026\train\train_15.npy,672db080476f2dbc2fe7b0ebab78b3d3e64ea9ad,0,30,0.53125,1,132.26026455026454,58.664469375213734,3.6350542099629566,0.0,255.0,0.0,0.53125,0.7432603766030902,0.0,0.21773905649046355,1,1,1,13
