case_id,target_class,rank,neighbor_id,similarity,neighbor_image_path
48,class1,1,55,0.2172369360923767,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
48,class1,2,60,0.20455460250377655,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\60.png
48,class1,3,67,0.20264291763305664,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\67.png
48,class2,1,19,0.3010198771953583,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\19.png
48,class2,2,59,0.2955731451511383,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\59.png
48,class2,3,51,0.28522789478302,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\51.png
289,class1,1,60,0.15198811888694763,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\60.png
289,class1,2,75,0.13582339882850647,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\75.png
289,class1,3,35,0.13123291730880737,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\35.png
289,class2,1,1,0.3290121555328369,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\1.png
289,class2,2,11,0.3248836398124695,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\11.png
289,class2,3,62,0.3248773515224457,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\62.png
361,class1,1,74,0.18200992047786713,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\74.png
361,class1,2,54,0.18091803789138794,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\54.png
361,class1,3,55,0.18039944767951965,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
361,class2,1,59,0.32146212458610535,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\59.png
361,class2,2,68,0.30347615480422974,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\68.png
361,class2,3,56,0.3002026081085205,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\56.png
543,class1,1,55,0.11072525382041931,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
543,class1,2,35,0.10443247109651566,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\35.png
543,class1,3,67,0.10431671142578125,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\67.png
543,class2,1,1,0.28531551361083984,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\1.png
543,class2,2,61,0.2659318149089813,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\61.png
543,class2,3,51,0.26579105854034424,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\51.png
612,class1,1,75,0.14907148480415344,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\75.png
612,class1,2,55,0.14747337996959686,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
612,class1,3,57,0.14293646812438965,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\57.png
612,class2,1,37,0.2543407678604126,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\37.png
612,class2,2,11,0.23708289861679077,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\11.png
612,class2,3,72,0.23066088557243347,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\72.png
699,class1,1,74,0.1639394760131836,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\74.png
699,class1,2,71,0.15635353326797485,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\71.png
699,class1,3,55,0.1554730236530304,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
699,class2,1,59,0.35031658411026,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\59.png
699,class2,2,30,0.33663251996040344,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\30.png
699,class2,3,56,0.33476948738098145,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\56.png
1333,class1,1,52,0.1585012525320053,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\52.png
1333,class1,2,67,0.15508756041526794,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\67.png
1333,class1,3,55,0.15505467355251312,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
1333,class2,1,37,0.29070889949798584,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\37.png
1333,class2,2,68,0.25319594144821167,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\68.png
1333,class2,3,27,0.2431485652923584,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\27.png
1525,class1,1,55,0.15094885230064392,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\55.png
1525,class1,2,70,0.13793796300888062,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\70.png
1525,class1,3,53,0.1317324936389923,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\val\53.png
1525,class2,1,37,0.28042280673980713,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\37.png
1525,class2,2,68,0.27486652135849,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\68.png
1525,class2,3,11,0.2570362687110901,data\processed\exp_093_multiface_selected_pad18_rescue_faces_112\train\11.png
