id,image_path,source_path,class,split,label,cluster,sim_to_jesse,sim_to_mila,sim_margin_jesse_minus_mila
59,data\processed\exp_001_faces_224\train\59.png,data\raw\kul-computer-vision-ga-1-2026\train\train_59.npy,0,train,0,0,0.15563685,0.2341291,-0.078492254
42,data\processed\exp_001_faces_224\train\42.png,data\raw\kul-computer-vision-ga-1-2026\train\train_42.npy,0,val,0,0,0.04901942,0.3144609,-0.26544148
32,data\processed\exp_001_faces_224\train\32.png,data\raw\kul-computer-vision-ga-1-2026\train\train_32.npy,0,val,0,0,0.054020245,0.38236398,-0.32834372
55,data\processed\exp_001_faces_224\train\55.png,data\raw\kul-computer-vision-ga-1-2026\train\train_55.npy,0,train,0,0,0.000539178,0.39218602,-0.39164683
36,data\processed\exp_001_faces_224\train\36.png,data\raw\kul-computer-vision-ga-1-2026\train\train_36.npy,0,train,0,0,0.013804115,0.40585333,-0.39204922
63,data\processed\exp_001_faces_224\train\63.png,data\raw\kul-computer-vision-ga-1-2026\train\train_63.npy,0,train,0,0,-0.0140864495,0.3811203,-0.39520675
11,data\processed\exp_001_faces_224\train\11.png,data\raw\kul-computer-vision-ga-1-2026\train\train_11.npy,0,train,0,0,0.0041338913,0.41245148,-0.4083176
47,data\processed\exp_001_faces_224\train\47.png,data\raw\kul-computer-vision-ga-1-2026\train\train_47.npy,0,train,0,0,-0.013529705,0.4004668,-0.41399652
21,data\processed\exp_001_faces_224\train\21.png,data\raw\kul-computer-vision-ga-1-2026\train\train_21.npy,0,train,0,0,-0.005510392,0.43137506,-0.43688545
58,data\processed\exp_001_faces_224\train\58.png,data\raw\kul-computer-vision-ga-1-2026\train\train_58.npy,0,val,0,0,0.006668372,0.4668942,-0.46022585
15,data\processed\exp_001_faces_224\train\15.png,data\raw\kul-computer-vision-ga-1-2026\train\train_15.npy,0,train,0,1,0.3876533,0.013537273,0.374116
79,data\processed\exp_001_faces_224\train\79.png,data\raw\kul-computer-vision-ga-1-2026\train\train_79.npy,0,train,0,1,0.3767918,0.011089683,0.36570212
4,data\processed\exp_001_faces_224\train\4.png,data\raw\kul-computer-vision-ga-1-2026\train\train_4.npy,0,train,0,1,0.36547112,0.035407837,0.33006328
2,data\processed\exp_001_faces_224\train\2.png,data\raw\kul-computer-vision-ga-1-2026\train\train_2.npy,0,train,0,1,0.36568344,0.044168383,0.32151505
16,data\processed\exp_001_faces_224\train\16.png,data\raw\kul-computer-vision-ga-1-2026\train\train_16.npy,0,train,0,1,0.35463348,0.096718036,0.25791544
25,data\processed\exp_001_faces_224\train\25.png,data\raw\kul-computer-vision-ga-1-2026\train\train_25.npy,0,val,0,1,0.27905557,0.037876114,0.24117945
71,data\processed\exp_001_faces_224\train\71.png,data\raw\kul-computer-vision-ga-1-2026\train\train_71.npy,0,train,0,1,0.28749603,0.077229016,0.210267
41,data\processed\exp_001_faces_224\train\41.png,data\raw\kul-computer-vision-ga-1-2026\train\train_41.npy,0,train,0,1,0.2990638,0.092057265,0.20700654
76,data\processed\exp_001_faces_224\train\76.png,data\raw\kul-computer-vision-ga-1-2026\train\train_76.npy,0,train,0,1,0.30555654,0.10015854,0.205398
44,data\processed\exp_001_faces_224\train\44.png,data\raw\kul-computer-vision-ga-1-2026\train\train_44.npy,0,train,0,1,0.29473713,0.10942171,0.18531543
