timestamp,experiment_name,stage,best_model_path,best_val_acc,config_path,submission_path,checkpoint_path,kaggle_public_score,tta_horizontal_flip
2026-03-21T12:33:08,exp_001_resnet18_haar,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_001_resnet18_haar\checkpoints\best-v1.ckpt,0.6944444179534912,configs\experiments\exp_001_resnet18_haar.yaml,,,,
2026-03-21T12:33:54,exp_001_resnet18_haar,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260321_123354_exp_001_resnet18_haar_submission.csv,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_001_resnet18_haar\checkpoints\best-v1.ckpt,0.61178,
2026-03-21T14:46:49,exp_002_resnet18_haar_10ep,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_002_resnet18_haar_10ep\checkpoints\best.ckpt,0.6111111044883728,configs\experiments\exp_002_resnet18_haar_10ep.yaml,,,,
2026-03-21T14:58:58,exp_002_resnet18_haar_10ep,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_002_resnet18_haar_10ep\checkpoints\best-v1.ckpt,0.6944444179534912,configs\experiments\exp_002_resnet18_haar_10ep.yaml,,,,
2026-03-21T15:33:29,exp_002_resnet18_haar_10ep,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260321_153329_exp_002_resnet18_haar_10ep_submission.csv,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_002_resnet18_haar_10ep\checkpoints\best-v1.ckpt,,
2026-04-01T13:24:35,exp_004_resnet18_haar_10ep_tta,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260401_132435_exp_004_resnet18_haar_10ep_tta_submission.csv,outputs\exp_002_resnet18_haar_10ep\checkpoints\best-v1.ckpt,0.51266,True
2026-04-01T13:49:22,exp_005_resnet18_haar_10ep_nohflip,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_005_resnet18_haar_10ep_nohflip\checkpoints\best.ckpt,0.7222222089767456,configs\experiments\exp_005_resnet18_haar_10ep_nohflip.yaml,,,,
2026-04-01T13:50:08,exp_005_resnet18_haar_10ep_nohflip,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260401_135008_exp_005_resnet18_haar_10ep_nohflip_submission.csv,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_005_resnet18_haar_10ep_nohflip\checkpoints\best.ckpt,0.56607,
2026-04-01T14:09:18,exp_006_resnet18_haar_10ep_nohflip_affine,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_006_resnet18_haar_10ep_nohflip_affine\checkpoints\best.ckpt,0.6111111044883728,configs\experiments\exp_006_resnet18_haar_10ep_nohflip_affine.yaml,,,,
2026-04-01T14:09:58,exp_006_resnet18_haar_10ep_nohflip_affine,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260401_140958_exp_006_resnet18_haar_10ep_nohflip_affine_submission.csv,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_006_resnet18_haar_10ep_nohflip_affine\checkpoints\best.ckpt,0.48898,
2026-04-01T14:45:47,exp_007_ir101_adaface_haar_10ep,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_007_ir101_adaface_haar_10ep\checkpoints\best.ckpt,1.0,configs\experiments\exp_007_ir101_adaface_haar_10ep.yaml,,,,
2026-04-01T14:46:56,exp_007_ir101_adaface_haar_10ep,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260401_144656_exp_007_ir101_adaface_haar_10ep_submission.csv,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_007_ir101_adaface_haar_10ep\checkpoints\best.ckpt,0.6272,
2026-04-01T15:18:11,exp_008_ir101_adaface_mtcnn_10ep,train,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\outputs\exp_008_ir101_adaface_mtcnn_10ep\checkpoints\best.ckpt,1.0,configs\experiments\exp_008_ir101_adaface_mtcnn_10ep.yaml,,,,
2026-04-01T15:19:20,exp_008_ir101_adaface_mtcnn_10ep,predict,,,,D:\BaiduNetdiskWorkspace\Leuven\8th\Computer Vision\assignment\Group\DeepLearning\data\submissions\20260401_151920_exp_008_ir101_adaface_mtcnn_10ep_submission.csv,outputs\exp_008_ir101_adaface_mtcnn_10ep\checkpoints\best.ckpt,0.60627,
