id,image_path,source_path,class
4,data/processed/exp_088_multiface_selected_faces_112/train/4.png,data/raw/kul-computer-vision-ga-1-2026/train/train_4.npy,0
17,data/processed/exp_088_multiface_selected_faces_112/train/17.png,data/raw/kul-computer-vision-ga-1-2026/train/train_17.npy,1
23,data/processed/exp_088_multiface_selected_faces_112/train/23.png,data/raw/kul-computer-vision-ga-1-2026/train/train_23.npy,1
13,data/processed/exp_088_multiface_selected_faces_112/train/13.png,data/raw/kul-computer-vision-ga-1-2026/train/train_13.npy,1
75,data/processed/exp_088_multiface_selected_faces_112/train/75.png,data/raw/kul-computer-vision-ga-1-2026/train/train_75.npy,2
30,data/processed/exp_088_multiface_selected_faces_112/train/30.png,data/raw/kul-computer-vision-ga-1-2026/train/train_30.npy,2
43,data/processed/exp_088_multiface_selected_faces_112/train/43.png,data/raw/kul-computer-vision-ga-1-2026/train/train_43.npy,2
62,data/processed/exp_088_multiface_selected_faces_112/train/62.png,data/raw/kul-computer-vision-ga-1-2026/train/train_62.npy,1
21,data/processed/exp_088_multiface_selected_faces_112/train/21.png,data/raw/kul-computer-vision-ga-1-2026/train/train_21.npy,0
41,data/processed/exp_088_multiface_selected_faces_112/train/41.png,data/raw/kul-computer-vision-ga-1-2026/train/train_41.npy,0
14,data/processed/exp_088_multiface_selected_faces_112/train/14.png,data/raw/kul-computer-vision-ga-1-2026/train/train_14.npy,1
18,data/processed/exp_088_multiface_selected_faces_112/train/18.png,data/raw/kul-computer-vision-ga-1-2026/train/train_18.npy,1
78,data/processed/exp_088_multiface_selected_faces_112/train/78.png,data/raw/kul-computer-vision-ga-1-2026/train/train_78.npy,2
64,data/processed/exp_088_multiface_selected_faces_112/train/64.png,data/raw/kul-computer-vision-ga-1-2026/train/train_64.npy,2
9,data/processed/exp_088_multiface_selected_faces_112/train/9.png,data/raw/kul-computer-vision-ga-1-2026/train/train_9.npy,1
50,data/processed/exp_088_multiface_selected_faces_112/train/50.png,data/raw/kul-computer-vision-ga-1-2026/train/train_50.npy,2
24,data/processed/exp_088_multiface_selected_faces_112/train/24.png,data/raw/kul-computer-vision-ga-1-2026/train/train_24.npy,2
31,data/processed/exp_088_multiface_selected_faces_112/train/31.png,data/raw/kul-computer-vision-ga-1-2026/train/train_31.npy,2
71,data/processed/exp_088_multiface_selected_faces_112/train/71.png,data/raw/kul-computer-vision-ga-1-2026/train/train_71.npy,0
11,data/processed/exp_088_multiface_selected_faces_112/train/11.png,data/raw/kul-computer-vision-ga-1-2026/train/train_11.npy,0
12,data/processed/exp_088_multiface_selected_faces_112/train/12.png,data/raw/kul-computer-vision-ga-1-2026/train/train_12.npy,1
52,data/processed/exp_088_multiface_selected_faces_112/train/52.png,data/raw/kul-computer-vision-ga-1-2026/train/train_52.npy,1
61,data/processed/exp_088_multiface_selected_faces_112/train/61.png,data/raw/kul-computer-vision-ga-1-2026/train/train_61.npy,2
45,data/processed/exp_088_multiface_selected_faces_112/train/45.png,data/raw/kul-computer-vision-ga-1-2026/train/train_45.npy,1
77,data/processed/exp_088_multiface_selected_faces_112/train/77.png,data/raw/kul-computer-vision-ga-1-2026/train/train_77.npy,2
63,data/processed/exp_088_multiface_selected_faces_112/train/63.png,data/raw/kul-computer-vision-ga-1-2026/train/train_63.npy,0
36,data/processed/exp_088_multiface_selected_faces_112/train/36.png,data/raw/kul-computer-vision-ga-1-2026/train/train_36.npy,0
27,data/processed/exp_088_multiface_selected_faces_112/train/27.png,data/raw/kul-computer-vision-ga-1-2026/train/train_27.npy,1
35,data/processed/exp_088_multiface_selected_faces_112/train/35.png,data/raw/kul-computer-vision-ga-1-2026/train/train_35.npy,1
38,data/processed/exp_088_multiface_selected_faces_112/train/38.png,data/raw/kul-computer-vision-ga-1-2026/train/train_38.npy,2
59,data/processed/exp_088_multiface_selected_faces_112/train/59.png,data/raw/kul-computer-vision-ga-1-2026/train/train_59.npy,0
74,data/processed/exp_088_multiface_selected_faces_112/train/74.png,data/raw/kul-computer-vision-ga-1-2026/train/train_74.npy,2
49,data/processed/exp_088_multiface_selected_faces_112/train/49.png,data/raw/kul-computer-vision-ga-1-2026/train/train_49.npy,1
55,data/processed/exp_088_multiface_selected_faces_112/train/55.png,data/raw/kul-computer-vision-ga-1-2026/train/train_55.npy,0
19,data/processed/exp_088_multiface_selected_faces_112/train/19.png,data/raw/kul-computer-vision-ga-1-2026/train/train_19.npy,1
46,data/processed/exp_088_multiface_selected_faces_112/train/46.png,data/raw/kul-computer-vision-ga-1-2026/train/train_46.npy,2
57,data/processed/exp_088_multiface_selected_faces_112/train/57.png,data/raw/kul-computer-vision-ga-1-2026/train/train_57.npy,2
76,data/processed/exp_088_multiface_selected_faces_112/train/76.png,data/raw/kul-computer-vision-ga-1-2026/train/train_76.npy,0
44,data/processed/exp_088_multiface_selected_faces_112/train/44.png,data/raw/kul-computer-vision-ga-1-2026/train/train_44.npy,0
40,data/processed/exp_088_multiface_selected_faces_112/train/40.png,data/raw/kul-computer-vision-ga-1-2026/train/train_40.npy,2
2,data/processed/exp_088_multiface_selected_faces_112/train/2.png,data/raw/kul-computer-vision-ga-1-2026/train/train_2.npy,0
6,data/processed/exp_088_multiface_selected_faces_112/train/6.png,data/raw/kul-computer-vision-ga-1-2026/train/train_6.npy,2
72,data/processed/exp_088_multiface_selected_faces_112/train/72.png,data/raw/kul-computer-vision-ga-1-2026/train/train_72.npy,1
0,data/processed/exp_088_multiface_selected_faces_112/train/0.png,data/raw/kul-computer-vision-ga-1-2026/train/train_0.npy,2
37,data/processed/exp_088_multiface_selected_faces_112/train/37.png,data/raw/kul-computer-vision-ga-1-2026/train/train_37.npy,2
10,data/processed/exp_088_multiface_selected_faces_112/train/10.png,data/raw/kul-computer-vision-ga-1-2026/train/train_10.npy,1
73,data/processed/exp_088_multiface_selected_faces_112/train/73.png,data/raw/kul-computer-vision-ga-1-2026/train/train_73.npy,1
69,data/processed/exp_088_multiface_selected_faces_112/train/69.png,data/raw/kul-computer-vision-ga-1-2026/train/train_69.npy,1
67,data/processed/exp_088_multiface_selected_faces_112/train/67.png,data/raw/kul-computer-vision-ga-1-2026/train/train_67.npy,2
20,data/processed/exp_088_multiface_selected_faces_112/train/20.png,data/raw/kul-computer-vision-ga-1-2026/train/train_20.npy,1
29,data/processed/exp_088_multiface_selected_faces_112/train/29.png,data/raw/kul-computer-vision-ga-1-2026/train/train_29.npy,2
47,data/processed/exp_088_multiface_selected_faces_112/train/47.png,data/raw/kul-computer-vision-ga-1-2026/train/train_47.npy,0
66,data/processed/exp_088_multiface_selected_faces_112/train/66.png,data/raw/kul-computer-vision-ga-1-2026/train/train_66.npy,1
68,data/processed/exp_088_multiface_selected_faces_112/train/68.png,data/raw/kul-computer-vision-ga-1-2026/train/train_68.npy,1
48,data/processed/exp_088_multiface_selected_faces_112/train/48.png,data/raw/kul-computer-vision-ga-1-2026/train/train_48.npy,1
28,data/processed/exp_088_multiface_selected_faces_112/train/28.png,data/raw/kul-computer-vision-ga-1-2026/train/train_28.npy,2
15,data/processed/exp_088_multiface_selected_faces_112/train/15.png,data/raw/kul-computer-vision-ga-1-2026/train/train_15.npy,0
16,data/processed/exp_088_multiface_selected_faces_112/train/16.png,data/raw/kul-computer-vision-ga-1-2026/train/train_16.npy,0
8,data/processed/exp_088_multiface_selected_faces_112/train/8.png,data/raw/kul-computer-vision-ga-1-2026/train/train_8.npy,2
60,data/processed/exp_088_multiface_selected_faces_112/train/60.png,data/raw/kul-computer-vision-ga-1-2026/train/train_60.npy,1
79,data/processed/exp_088_multiface_selected_faces_112/train/79.png,data/raw/kul-computer-vision-ga-1-2026/train/train_79.npy,0
34,data/processed/exp_088_multiface_selected_faces_112/train/34.png,data/raw/kul-computer-vision-ga-1-2026/train/train_34.npy,1
3,data/processed/exp_088_multiface_selected_faces_112/train/3.png,data/raw/kul-computer-vision-ga-1-2026/train/train_3.npy,2
